instrument,alpha,alpha2,key,text_en,text_zh,label,label_zh,IPIP_item_number
16PF,0.78,,1,Act wild and crazy.,行為狂野瘋狂。,Gregariousness,合群性,H871
16PF,0.8,,1,Am afraid that I will do the wrong thing.,我擔心自己會做錯事。,Anxiety,焦慮,H905
16PF,0.76,,1,Am annoyed by others' mistakes.,我會因他人的錯誤而感到煩躁。,Emotionality,情緒性,E82
16PF,0.85,,-1,Am easily discouraged.,我容易感到沮喪。,Emotional Stability,情緒穩定性,H647
16PF,0.8,,1,Am easily hurt.,我容易受傷。,Anxiety,焦慮,H987
16PF,0.76,,1,Am easily put out.,我容易生氣。,Emotionality,情緒性,H641
16PF,0.81,,1,Am exacting in my work.,我對工作要求嚴格。,Orderliness,條理性,X163
16PF,0.86,,1,Am hard to get to know.,我很難被了解。,Reserve,保守性,"H596, X9"
16PF,0.81,,1,Am not afraid of providing criticism.,我不怕提出批評。,Dominance,支配性,H459
16PF,0.81,,1,Am not afraid of providing criticism.,我不怕提出批評。,Assertiveness,自信堅定,H459
16PF,0.81,,-1,Am not bothered by disorder.,我不會被混亂所困擾。,Orderliness,條理性,E7
16PF,0.81,,-1,Am not bothered by messy people.,我不會被凌亂的人困擾。,Orderliness,條理性,E100
16PF,0.76,,-1,Am not easily annoyed.,我不容易被激怒。,Emotionality,情緒性,X23
16PF,0.8,,-1,Am not easily bothered by things.,我不容易被事情困擾。,Anxiety,焦慮,X138
16PF,0.85,,1,Am not easily frustrated.,我不容易感到沮喪。,Emotional Stability,情緒穩定性,X59
16PF,0.82,,-1,Am not interested in abstract ideas.,我對抽象概念不感興趣。,Complexity,複雜性,X228
16PF,0.82,,-1,Am not interested in theoretical discussions.,我對理論討論不感興趣。,Complexity,複雜性,X239
16PF,0.8,,-1,Am not really interested in others.,我對他人不太感興趣。,Warmth,熱情,X165
16PF,0.86,,-1,Am open about my feelings.,我坦誠表達自己的感受。,Reserve,保守性,X148
16PF,0.86,,-1,Am open about myself to others.,我對他人坦誠。,Reserve,保守性,X85
16PF,0.76,,1,Am quick to judge others.,我很快就對他人下判斷。,Emotionality,情緒性,E65
16PF,0.8,,-1,Am quiet around strangers.,我在陌生人面前很安靜。,Friendliness,友善,"H661, X260"
16PF,0.85,,1,Am relaxed most of the time.,我大部分時間都很放鬆。,Emotional Stability,情緒穩定性,E141
16PF,0.78,,-1,Am the last to laugh at a joke.,我是最後才笑出來的人。,Gregariousness,合群性,
16PF,0.78,,1,Am the life of the party.,我是派對的靈魂人物。,Gregariousness,合群性,
16PF,0.8,,1,Am wary of others.,我對他人保持警惕。,Distrust,不信任,H1001
16PF,0.86,,-1,Am willing to talk about myself.,我願意談論自己。,Reserve,保守性,H9
16PF,0.78,,1,Amuse my friends.,我會逗朋友開心。,Gregariousness,合群性,H1093
16PF,0.82,,-1,Avoid philosophical discussions.,我避免哲學討論。,Complexity,複雜性,X248
16PF,0.84,,1,Believe in one true religion.,我相信只有一個真正的宗教。,Dutifulness,盡責性,X35
16PF,0.82,,1,Believe in the importance of art.,我相信藝術的重要性。,Complexity,複雜性,X123
16PF,0.84,,1,Believe laws should be strictly enforced.,我相信法律應該嚴格執行。,Dutifulness,盡責性,
16PF,0.8,,-1,Believe that others have good intentions.,我相信他人有善意。,Distrust,不信任,H549
16PF,0.8,,-1,Believe that people are basically moral.,我相信人們基本上是有道德的。,Distrust,不信任,X189
16PF,0.8,,1,Believe that people are essentially evil.,我相信人們本質上是邪惡的。,Distrust,不信任,X80
16PF,0.8,,1,Believe that people seldom tell you the whole truth.,我相信人們很少告訴你全部真相。,Distrust,不信任,
16PF,0.86,,1,Bottle up my feelings.,我壓抑自己的感受。,Reserve,保守性,H1146
16PF,0.84,,-1,Break rules.,我違反規則。,Dutifulness,盡責性,H1346
16PF,0.81,,1,Can take strong measures.,我能採取強硬措施。,Dominance,支配性,H409
16PF,0.81,,1,Can take strong measures.,我能採取強硬措施。,Assertiveness,自信堅定,H409
16PF,0.73,,-1,Can't do without the company of others.,我離不開他人的陪伴。,Introversion,內向性,H965
16PF,0.76,,1,Can't stand being contradicted.,我無法忍受被反駁。,Emotionality,情緒性,H292
16PF,0.82,,1,Carry the conversation to a higher level.,我能將對話提升到更高層次。,Complexity,複雜性,H1227
16PF,0.8,,1,Cheer people up.,我能讓人們振作起來。,Warmth,熱情,H1151
16PF,0.76,,-1,Consider myself an average person.,我認為自己是個普通人。,Intellect,智力,X125
16PF,0.81,,1,Continue until everything is perfect.,我會堅持到一切完美為止。,Orderliness,條理性,H286
16PF,0.76,,1,Counter others' arguments.,我會反駁他人的論點。,Intellect,智力,H1360
16PF,0.73,,1,Cry during movies.,我看電影時會哭。,Sensitivity,敏感性,H2011
16PF,0.86,,-1,Disclose my intimate thoughts.,我會透露自己的私密想法。,Reserve,保守性,H2013
16PF,0.78,,-1,Dislike loud music.,我不喜歡吵鬧的音樂。,Gregariousness,合群性,X215
16PF,0.85,,-1,Dislike myself.,我不喜歡自己。,Emotional Stability,情緒穩定性,X15
16PF,0.73,,-1,Dislike works of fiction.,我不喜歡小說作品。,Sensitivity,敏感性,X230
16PF,0.8,,1,Distrust people.,我不信任他人。,Distrust,不信任,"H1195, X12"
16PF,0.73,,-1,Do not enjoy watching dance performances.,我不喜歡看舞蹈表演。,Sensitivity,敏感性,X243
16PF,0.73,,-1,Do not like poetry.,我不喜歡詩歌。,Sensitivity,敏感性,X45
16PF,0.8,,-1,Do things by the book.,我按規矩做事。,Imagination,想像力,H250
16PF,0.8,,1,Do things that others find strange.,我做的事情讓他人覺得奇怪。,Imagination,想像力,H691
16PF,0.8,,1,Do unexpected things.,我做出意想不到的事情。,Imagination,想像力,H893
16PF,0.8,,-1,Don't let others discourage me.,我不讓他人使我沮喪。,Anxiety,焦慮,H368
16PF,0.73,,1,Don't like action movies.,我不喜歡動作電影。,Sensitivity,敏感性,X119
16PF,0.78,,-1,Don't like crowded events.,我不喜歡擁擠的活動。,Gregariousness,合群性,X99
16PF,0.8,,-1,Don't like to get involved in other people's problems.,我不喜歡捲入他人的問題。,Warmth,熱情,X103
16PF,0.8,,1,Don't mind being the center of attention.,我不介意成為注意力的焦點。,Friendliness,友善,X78
16PF,0.73,,1,Don't mind eating alone.,我不介意獨自用餐。,Introversion,內向性,E72
16PF,0.86,,1,Don't talk a lot.,我話不多。,Reserve,保守性,X56
16PF,0.8,,-1,Don't worry about things that have already happened.,我不擔心已經發生的事情。,Anxiety,焦慮,E150
16PF,0.73,,-1,Enjoy being part of a group.,我喜歡成為團體的一員。,Introversion,內向性,"H2016, V58"
16PF,0.78,,1,Enjoy being part of a loud crowd.,我喜歡成為吵鬧人群的一員。,Gregariousness,合群性,E56
16PF,0.8,,1,Enjoy bringing people together.,我喜歡讓人們聚在一起。,Warmth,熱情,X161
16PF,0.73,,1,Enjoy discussing movies and books with others.,我喜歡和他人討論電影和書籍。,Sensitivity,敏感性,E47
16PF,0.82,,1,Enjoy hearing new ideas.,我喜歡聽到新想法。,Complexity,複雜性,X166
16PF,0.73,,1,Enjoy my privacy.,我喜歡保持隱私。,Introversion,內向性,E83
16PF,0.73,,1,Enjoy silence.,我喜歡安靜。,Introversion,內向性,E94
16PF,0.73,,1,Enjoy spending time by myself.,我喜歡獨處。,Introversion,內向性,X88
16PF,0.73,,-1,Enjoy teamwork.,我喜歡團隊合作。,Introversion,內向性,X271
16PF,0.8,,1,Enjoy wild flights of fantasy.,我喜歡狂野的幻想飛行。,Imagination,想像力,X238
16PF,0.8,,1,Feel comfortable around people.,我在人群中感到自在。,Friendliness,友善,X112
16PF,0.85,,1,Feel comfortable with myself.,我對自己感到自在。,Emotional Stability,情緒穩定性,X129
