"instrument_en","instrument_zh","description"
"16PF","16種人格因素問卷","16 Personality Factors Questionnaire"
"6FPQ","六因素人格問卷","Six-Factor Personality Questionnaire"
"7FACTOR","七因素量表","Seven-Factor Scale"
"AB5C","AB5C","Abridged Big Five Circumplex"
"Barchard2001","Barchard情緒智力量表","Barchard Emotional Intelligence Scale (2001)"
"BFAS","大五人格簡短量表","Big Five Aspect Scales"
"BFAS-20","大五人格簡短量表-20題","Big Five Aspect Scales - 20 items"
"BIDR","BIDR","Balanced Inventory of Desirable Responding"
"BIS_BAS","行為抑制/激活系統","Behavioral Inhibition/Activation System"
"Buss1980","Buss攻擊量表","Buss Aggression Scale (1980)"
"Cacioppo1982","認知需求量表","Need for Cognition Scale (Cacioppo, 1982)"
"CAT-PD","CAT-PD","Computerized Adaptive Test for Personality Disorders"
"Chapman1986","Chapman量表","Chapman Scale (1986)"
"CPI","加州心理量表","California Psychological Inventory"
"Foa1998","Foa量表 1998","Foa Scale (1998)"
"Foa2002","Foa量表 2002","Foa Scale (2002)"
"Goldberg1999","Goldberg大五人格量表","Goldberg Big Five Personality Scale (1999)"
"HEXACO_PI","HEXACO人格量表","HEXACO Personality Inventory"
"Hoyle2002","Hoyle量表","Hoyle Scale (2002)"
"HPI","Hogan人格量表","Hogan Personality Inventory"
"HPI-HIC","Hogan人格量表-HIC","Hogan Personality Inventory - HIC version"
"IPIP-IPC","IPIP人際特質量表","IPIP Interpersonal Circumplex"
"JPI","Jackson人格量表","Jackson Personality Inventory"
"Levenson1981","Levenson量表","Levenson Scale (1981)"
"MPQ","多向度人格問卷","Multidimensional Personality Questionnaire"
"NEO","NEO人格量表","NEO Personality Inventory"
"NEO5-20","NEO五因素人格量表-20題","NEO Five-Factor Inventory - 20 items"
"ORAIS","ORAIS","Oregon Research Institute Activity Inventory Scale"
"ORVIS","ORVIS","Oregon Vocational Interest Scales"
"Radloff1977","CES-D憂鬱量表","Center for Epidemiologic Studies Depression Scale (Radloff, 1977)"
"Rosenberg1965","Rosenberg自尊量表","Rosenberg Self-Esteem Scale (1965)"
"Scheier1994","生活導向量表","Life Orientation Test (Scheier & Carver, 1994)"
"Snyder1974","自我監控量表","Self-Monitoring Scale (Snyder, 1974)"
"Span2002","Span量表","Span Scale (2002)"
"TCI","氣質與性格量表","Temperament and Character Inventory"
"VIA","VIA性格優勢量表","Values in Action Inventory of Strengths"
