instrument,alpha,key,text,label
16PF,0.78,1,行為狂野瘋狂。,合群性
16PF,0.8,1,我擔心自己會做錯事。,焦慮
16PF,0.76,1,我會因他人的錯誤而感到煩躁。,情緒性
16PF,0.85,-1,我容易感到沮喪。,情緒穩定性
16PF,0.8,1,我容易受傷。,焦慮
16PF,0.76,1,我容易生氣。,情緒性
16PF,0.81,1,我對工作要求嚴格。,條理性
16PF,0.86,1,我很難被了解。,保守性
16PF,0.81,1,我不怕提出批評。,支配性
16PF,0.81,1,我不怕提出批評。,自信堅定
16PF,0.81,-1,我不會被混亂所困擾。,條理性
16PF,0.81,-1,我不會被凌亂的人困擾。,條理性
16PF,0.76,-1,我不容易被激怒。,情緒性
16PF,0.8,-1,我不容易被事情困擾。,焦慮
16PF,0.85,1,我不容易感到沮喪。,情緒穩定性
16PF,0.82,-1,我對抽象概念不感興趣。,複雜性
16PF,0.82,-1,我對理論討論不感興趣。,複雜性
16PF,0.8,-1,我對他人不太感興趣。,熱情
16PF,0.86,-1,我坦誠表達自己的感受。,保守性
16PF,0.86,-1,我對他人坦誠。,保守性
16PF,0.76,1,我很快就對他人下判斷。,情緒性
16PF,0.8,-1,我在陌生人面前很安靜。,友善
16PF,0.85,1,我大部分時間都很放鬆。,情緒穩定性
16PF,0.78,-1,我是最後才笑出來的人。,合群性
16PF,0.78,1,我是派對的靈魂人物。,合群性
16PF,0.8,1,我對他人保持警惕。,不信任
16PF,0.86,-1,我願意談論自己。,保守性
16PF,0.78,1,我會逗朋友開心。,合群性
16PF,0.82,-1,我避免哲學討論。,複雜性
16PF,0.84,1,我相信只有一個真正的宗教。,盡責性
16PF,0.82,1,我相信藝術的重要性。,複雜性
16PF,0.84,1,我相信法律應該嚴格執行。,盡責性
16PF,0.8,-1,我相信他人有善意。,不信任
16PF,0.8,-1,我相信人們基本上是有道德的。,不信任
16PF,0.8,1,我相信人們本質上是邪惡的。,不信任
16PF,0.8,1,我相信人們很少告訴你全部真相。,不信任
16PF,0.86,1,我壓抑自己的感受。,保守性
16PF,0.84,-1,我違反規則。,盡責性
16PF,0.81,1,我能採取強硬措施。,支配性
16PF,0.81,1,我能採取強硬措施。,自信堅定
16PF,0.73,-1,我離不開他人的陪伴。,內向性
16PF,0.76,1,我無法忍受被反駁。,情緒性
16PF,0.82,1,我能將對話提升到更高層次。,複雜性
16PF,0.8,1,我能讓人們振作起來。,熱情
16PF,0.76,-1,我認為自己是個普通人。,智力
16PF,0.81,1,我會堅持到一切完美為止。,條理性
16PF,0.76,1,我會反駁他人的論點。,智力
16PF,0.73,1,我看電影時會哭。,敏感性
16PF,0.86,-1,我會透露自己的私密想法。,保守性
16PF,0.78,-1,我不喜歡吵鬧的音樂。,合群性
16PF,0.85,-1,我不喜歡自己。,情緒穩定性
16PF,0.73,-1,我不喜歡小說作品。,敏感性
16PF,0.8,1,我不信任他人。,不信任
16PF,0.73,-1,我不喜歡看舞蹈表演。,敏感性
16PF,0.73,-1,我不喜歡詩歌。,敏感性
16PF,0.8,-1,我按規矩做事。,想像力
16PF,0.8,1,我做的事情讓他人覺得奇怪。,想像力
16PF,0.8,1,我做出意想不到的事情。,想像力
16PF,0.8,-1,我不讓他人使我沮喪。,焦慮
16PF,0.73,1,我不喜歡動作電影。,敏感性
16PF,0.78,-1,我不喜歡擁擠的活動。,合群性
16PF,0.8,-1,我不喜歡捲入他人的問題。,熱情
16PF,0.8,1,我不介意成為注意力的焦點。,友善
16PF,0.73,1,我不介意獨自用餐。,內向性
16PF,0.86,1,我話不多。,保守性
16PF,0.8,-1,我不擔心已經發生的事情。,焦慮
16PF,0.73,-1,我喜歡成為團體的一員。,內向性
16PF,0.78,1,我喜歡成為吵鬧人群的一員。,合群性
16PF,0.8,1,我喜歡讓人們聚在一起。,熱情
16PF,0.73,1,我喜歡和他人討論電影和書籍。,敏感性
16PF,0.82,1,我喜歡聽到新想法。,複雜性
16PF,0.73,1,我喜歡保持隱私。,內向性
16PF,0.73,1,我喜歡安靜。,內向性
16PF,0.73,1,我喜歡獨處。,內向性
16PF,0.73,-1,我喜歡團隊合作。,內向性
16PF,0.8,1,我喜歡狂野的幻想飛行。,想像力
16PF,0.8,1,我在人群中感到自在。,友善
16PF,0.85,1,我對自己感到自在。,情緒穩定性
16PF,0.8,1,我因挫折而崩潰。,焦慮
16PF,0.85,-1,我感到絕望。,情緒穩定性
16PF,0.8,1,當我說「不」時感到內疚。,焦慮
16PF,0.8,1,我能感受他人的情緒。,熱情
16PF,0.8,1,我容易感到威脅。,焦慮
16PF,0.8,-1,我發現很難接近他人。,友善
16PF,0.8,1,我發現很難原諒他人。,不信任
16PF,0.76,1,我容易生氣。,情緒性
16PF,0.81,1,我會馬上完成家務。,條理性
16PF,0.76,-1,我容易感到困惑。,智力
16PF,0.76,1,我容易被激怒。,情緒性
16PF,0.76,-1,我對每個人都有好話說。,情緒性
16PF,0.76,-1,我的詞彙量很少。,智力
16PF,0.85,-1,我經常情緒波動。,情緒穩定性
16PF,0.8,-1,我沒什麼話要說。,友善
16PF,0.78,1,我經常開玩笑。,合群性
